mfd_id,xcoord,ycoord
11,-8965871.03206,2929101.15738
11,-8965881.82521,2929101.17834
11,-8965883.62548,2929462.29668
11,-8966065.5688,2929462.54075
11,-8966065.6187,2929473.39313
11,-8965883.70694,2929473.15033
11,-8965888.07506,2929910.71257
11,-8966067.62731,2929910.26545
11,-8966067.67721,2929921.11925
11,-8965888.09946,2929921.56644
11,-8965886.85888,2930146.23976
11,-8965894.10053,2930376.87035
11,-8965894.10319,2930377.06026
11,-8965893.36831,2930592.20355
11,-8965893.78788,2930806.43271
11,-8965894.95411,2930807.18733
11,-8965896.00456,2930808.09778
11,-8965896.91881,2930809.14634
11,-8965897.67906,2930810.31261
11,-8966071.75935,2930808.98453
11,-8966071.80925,2930819.83891
11,-8965897.76774,2930821.16683
11,-8965897.01471,2930822.3541
11,-8965896.10381,2930823.42369
11,-8965895.05297,2930824.35454
11,-8965893.8829,2930825.12831
11,-8965896.75927,2931175.49805
11,-8965885.96486,2931175.66476
11,-8965883.1,2930826.6757
11,-8965664.94267,2930827.09919
11,-8965664.7865,2930827.10018
11,-8965442.52134,2930829.96186
11,-8965327.0733,2930830.76793
11,-8965224.50309,2930831.55512
11,-8965234.23035,2931185.73016
11,-8965223.43526,2931185.89688
11,-8965213.70363,2930831.55405
11,-8964995.85569,2930829.63737
11,-8964997.16059,2931090.37287
11,-8964999.13351,2931189.361
11,-8964988.33981,2931189.52769
11,-8964986.36596,2931090.50928
11,-8964985.06026,2930829.62748
11,-8964770.62089,2930831.16139
11,-8964770.40663,2930831.15978
11,-8964547.33103,2930827.1091
11,-8964547.03595,2931196.3432
11,-8964536.24173,2931196.5099
11,-8964536.53588,2930826.9479
11,-8964321.38522,2930824.46538
11,-8964320.98711,2930824.46819
11,-8964110.11391,2930829.85463
11,-8964112.89427,2931203.04809
11,-8964102.09971,2931203.2148
11,-8964099.31956,2930829.99596
11,-8963926.93843,2930829.86198
11,-8963794.79438,2930829.75679
11,-8963794.07075,2930808.04801
11,-8963926.9753,2930808.15287
11,-8964099.04121,2930808.28841
11,-8964084.59637,2930011.35888
11,-8964082.92701,2929410.24197
11,-8964074.15821,2929097.6683
11,-8964084.95692,2929097.68927
11,-8964093.56884,2929404.68813
11,-8964531.16838,2929401.12159
11,-8964536.53282,2929243.96654
11,-8964536.53919,2929243.76942
11,-8964535.42484,2929098.56397
11,-8964546.21699,2929098.58492
11,-8964547.28571,2929238.49422
11,-8964752.4672,2929237.19027
11,-8964749.41163,2929098.97947
11,-8964760.20854,2929099.00044
11,-8964763.38156,2929242.54286
11,-8964766.36003,2929461.7996
11,-8964974.91824,2929463.93898
11,-8964974.9759,2929099.41746
11,-8964985.76878,2929099.43842
11,-8964985.7123,2929464.04218
11,-8965200.84153,2929465.94676
11,-8965197.21652,2929099.849
11,-8965208.0113,2929099.86996
11,-8965211.63621,2929465.93136
11,-8965424.03942,2929463.4081
11,-8965424.3077,2929463.41353
11,-8965433.32623,2929463.82891
11,-8965433.32857,2929463.09956
11,-8965428.5983,2929100.29828
11,-8965439.39343,2929100.31924
11,-8965444.12275,2929463.04733
11,-8965444.11932,2929464.06017
11,-8965872.83113,2929462.31163
11,-8965871.03206,2929101.15738
11,-8965205.30964,2929913.73925
11,-8965200.94944,2929476.80176
11,-8964985.78114,2929474.89685
11,-8964991.29996,2929911.2875
11,-8965205.30964,2929913.73925
11,-8965206.53812,2930362.74726
11,-8965205.37886,2929924.5947
11,-8964991.39661,2929922.14309
11,-8964993.73391,2930362.38577
11,-8965197.58261,2930360.49686
11,-8965198.55387,2930360.58249
11,-8965199.01648,2930360.68744
11,-8965206.53812,2930362.74726
11,-8965213.31537,2930809.84062
11,-8965209.66424,2930382.90062
11,-8965207.49349,2930374.25853
11,-8965196.90067,2930371.35768
11,-8964993.78726,2930373.23979
11,-8964995.75227,2930807.92655
11,-8965213.31537,2930809.84062
11,-8965877.28051,2929910.73651
11,-8965872.91225,2929473.16483
11,-8965444.26195,2929474.9099
11,-8965444.37552,2929478.77646
11,-8965448.67025,2929910.32004
11,-8965448.58511,2929911.29868
11,-8965448.40188,2929911.9769
11,-8965448.69702,2929911.87251
11,-8965449.56916,2929911.64426
11,-8965450.47764,2929911.56504
11,-8965877.28051,2929910.73651
11,-8965437.86143,2929908.92351
11,-8965433.5833,2929478.99105
11,-8965433.45715,2929474.68131
11,-8965423.97114,2929474.26298
11,-8965211.74409,2929476.78448
11,-8965216.10603,2929913.86382
11,-8965433.62235,2929916.39242
11,-8965437.86143,2929908.92351
11,-8965883.30795,2930377.1178
11,-8965876.0663,2930146.48172
11,-8965876.06366,2930146.28607
11,-8965877.30473,2929921.59039
11,-8965451.41461,2929922.41722
11,-8965447.03314,2929923.96686
11,-8965447.21129,2929924.13057
11,-8965447.71664,2929924.66252
11,-8965448.2536,2929925.43929
11,-8965448.64824,2929926.29803
11,-8965448.88859,2929927.21262
11,-8965448.96723,2929928.17302
11,-8965444.54235,2930373.07196
11,-8965447.73233,2930808.18404
11,-8965664.66644,2930805.39559
11,-8965664.81263,2930805.39062
11,-8965882.98977,2930804.96676
11,-8965882.57319,2930592.1945
11,-8965883.30795,2930377.1178
11,-8964539.94192,2930370.42237
11,-8964536.54084,2930150.13824
11,-8964537.85561,2929919.10841
11,-8964533.15393,2929697.55281
11,-8964533.11514,2929696.68794
11,-8964532.07402,2929469.64525
11,-8964531.08123,2929411.97622
11,-8964093.73511,2929415.54053
11,-8964095.39044,2930011.24455
11,-8964109.83569,2930808.15751
11,-8964320.83725,2930802.77249
11,-8964321.19977,2930802.759
11,-8964536.67262,2930805.23889
11,-8964539.15737,2930594.16647
11,-8964539.94192,2930370.42237
11,-8964765.11126,2930809.35096
11,-8964763.31695,2930596.5649
11,-8964654.05774,2930598.167
11,-8964549.88974,2930599.55332
11,-8964547.46677,2930805.39887
11,-8964765.11126,2930809.35096
11,-8964980.50354,2929911.20747
11,-8964974.98489,2929474.79386
11,-8964766.41203,2929472.65432
11,-8964765.57418,2929696.49955
11,-8964766.55472,2929910.4539
11,-8964980.50354,2929911.20747
11,-8964984.95686,2930807.9185
11,-8964982.96796,2930367.86677
11,-8964980.60147,2929922.06169
11,-8964766.67392,2929921.30834
11,-8964770.54868,2930146.77949
11,-8964770.95967,2930368.33078
11,-8964774.06414,2930591.02671
11,-8964775.90743,2930809.41416
11,-8964984.95686,2930807.9185
11,-8964759.66324,2930141.45068
11,-8964755.78736,2929915.91018
11,-8964754.80453,2929701.92063
11,-8964544.02337,2929702.052
11,-8964548.64931,2929918.94969
11,-8964548.65049,2929919.09118
11,-8964547.3644,2930144.57306
11,-8964650.81463,2930142.52114
11,-8964759.66324,2930141.45068
11,-8964755.63813,2929467.1756
11,-8964752.66139,2929248.0427
11,-8964547.14643,2929249.34876
11,-8964541.78489,2929406.41214
11,-8964541.78251,2929406.69195
11,-8964542.86764,2929469.52668
11,-8964543.88167,2929691.19832
11,-8964754.79996,2929691.06688
11,-8964755.63813,2929467.1756
11,-8965438.1489,2929930.50667
11,-8965434.61443,2929927.25855
11,-8965216.17386,2929924.71929
11,-8965217.30522,2930368.93145
11,-8965217.32193,2930369.17591
11,-8965220.28909,2930380.87395
11,-8965220.37464,2930381.27912
11,-8965220.45322,2930382.15626
11,-8965224.11112,2930809.84829
11,-8965326.91595,2930809.0593
11,-8965436.93771,2930808.29123
11,-8965433.74733,2930373.05442
11,-8965438.1489,2929930.50667
11,-8964763.19559,2930585.71111
11,-8964760.16506,2930368.41773
11,-8964759.76657,2930152.30427
11,-8964650.87527,2930153.37506
11,-8964547.41558,2930155.42826
11,-8964550.73666,2930370.35807
11,-8964549.97173,2930588.69686
11,-8964654.00167,2930587.3127
11,-8964763.19559,2930585.71111
