ID,ROAD_NAME,ROAD_NO,ROAD_TYPE,ROAD_WIDTH,LENGTH,xcoord,ycoord
3737,,,Pucca,0,140331.42600,539549.38701,624354.20464
3737,,,Pucca,0,140331.42600,539546.35013,624353.70926
3737,,,Pucca,0,140331.42600,539546.49586,624352.20973
3737,,,Pucca,0,140331.42600,539549.61576,624352.71873
3737,,,Pucca,0,140331.42600,539679.33659,624373.88222
3737,,,Pucca,0,140331.42600,539716.71187,624379.24437
3737,,,Pucca,0,140331.42600,539716.73721,624379.25057
3737,,,Pucca,0,140331.42600,539716.76232,624379.25766
3737,,,Pucca,0,140331.42600,539716.78718,624379.26561
3737,,,Pucca,0,140331.42600,539716.81174,624379.27441
3737,,,Pucca,0,140331.42600,539716.83598,624379.28407
3737,,,Pucca,0,140331.42600,539716.85988,624379.29456
3737,,,Pucca,0,140331.42600,539716.88339,624379.30587
3737,,,Pucca,0,140331.42600,539716.90650,624379.31798
3737,,,Pucca,0,140331.42600,539716.92917,624379.33090
3737,,,Pucca,0,140331.42600,539716.95139,624379.34459
3737,,,Pucca,0,140331.42600,539716.97311,624379.35904
3737,,,Pucca,0,140331.42600,539716.99432,624379.37424
3737,,,Pucca,0,140331.42600,539717.01499,624379.39017
3737,,,Pucca,0,140331.42600,539717.03510,624379.40680
3737,,,Pucca,0,140331.42600,539717.05462,624379.42412
3737,,,Pucca,0,140331.42600,539717.07352,624379.44210
3737,,,Pucca,0,140331.42600,539717.09179,624379.46073
3737,,,Pucca,0,140331.42600,539717.10941,624379.47998
3737,,,Pucca,0,140331.42600,539717.12634,624379.49984
3737,,,Pucca,0,140331.42600,539717.14258,624379.52026
3737,,,Pucca,0,140331.42600,539717.15810,624379.54124
3737,,,Pucca,0,140331.42600,539717.17288,624379.56274
3737,,,Pucca,0,140331.42600,539717.18691,624379.58475
3737,,,Pucca,0,140331.42600,539717.20016,624379.60722
3737,,,Pucca,0,140331.42600,539717.21263,624379.63015
3737,,,Pucca,0,140331.42600,539717.22429,624379.65349
3737,,,Pucca,0,140331.42600,539717.23514,624379.67722
3737,,,Pucca,0,140331.42600,539717.24516,624379.70131
3737,,,Pucca,0,140331.42600,539717.25434,624379.72574
3737,,,Pucca,0,140331.42600,539717.26267,624379.75047
3737,,,Pucca,0,140331.42600,539717.27013,624379.77547
3737,,,Pucca,0,140331.42600,539717.27672,624379.80072
3737,,,Pucca,0,140331.42600,539717.28244,624379.82618
3737,,,Pucca,0,140331.42600,539717.28726,624379.85182
3737,,,Pucca,0,140331.42600,539717.29120,624379.87762
3737,,,Pucca,0,140331.42600,539717.29423,624379.90354
3737,,,Pucca,0,140331.42600,539717.29637,624379.92954
3737,,,Pucca,0,140331.42600,539717.29760,624379.95561
3737,,,Pucca,0,140331.42600,539717.29793,624379.98170
3737,,,Pucca,0,140331.42600,539717.29735,624380.00779
3737,,,Pucca,0,140331.42600,539717.29587,624380.03384
