"ID","xcoord","ycoord"
"0","540497.3546130903","627877.8064773695"
"0","540504.9816719798","627907.3463559741"
"0","540502.1958464374","627876.5564934975"
"0","540509.8229053267","627906.096372102"
"1","540511.2875587894","627911.7690286414"
"1","540552.2367652835","627907.8733785716"
"1","540510.8140282223","627906.7915022675"
"1","540551.7632347165","627902.8958521977"
"2","540506.1219312035","627912.6308580254"
"2","540511.5011312821","627944.2210214073"
"2","540511.050981523","627911.7915351152"
"2","540516.4301816017","627943.3816984971"
"3","540476.3275960676","628248.3691339148"
"3","540497.9047572429","628268.9840868992"
"3","540480.4724039325","628244.0308660851"
"3","540502.0495651078","628264.6458190695"
"4","540350.1728810525","628144.3795695646"
"4","540365.2992675612","628158.4314917239"
"4","540353.5759156802","628140.7163257395"
"4","540368.7023021888","628154.7682478988"
"5","540230.3221832348","628122.170033557"
"5","540336.1228494813","628138.0901199543"
"5","540231.2149673691","628116.2368272998"
"5","540337.0156336155","628132.1569136971"
"6","540349.1951966798","628133.9896024991"
"6","540401.0118588676","628022.862586934"
"6","540344.6636153209","628131.8766021702"
"6","540396.4802775088","628020.7495866051"
"7","540455.9330478568","627870.7604150864"
"7","540494.8931094235","627875.641563194"
"7","540456.5546183117","627865.7992005001"
"7","540495.5146798784","627870.6803486077"
"8","540501.974852655","627875.7005764788"
"8","540547.0470755234","627869.301264047"
"8","540501.272005956","627870.750222298"
"8","540546.3442288245","627864.350909866"
"9","540403.9840725822","628352.2817506104"
"9","540422.438054607","628189.5810178301"
"9","540399.0159274178","628351.7182493896"
"9","540417.4699094426","628189.0175166092"
"10","540338.2359007907","627587.3224311044"
"10","540366.8384212813","627796.8505582534"
"10","540344.1807658761","627586.5109022289"
"10","540372.7832863667","627796.0390293779"
"11","540266.7478864794","627812.4876801027"
"11","540367.42022264","627802.4561205958"
"11","540266.2521135206","627807.5123198973"
"11","540366.9244496813","627797.4807603904"
"12","540368.8569933658","627803.8571530782"
"12","540412.0379213574","627953.7409590186"
"12","540373.6615787188","627802.4729711589"
"12","540416.8425067106","627952.3567770993"
"13","540533.1445386725","628329.5547986894"
"13","540539.8339714404","628302.4127226436"
"13","540527.3188634239","628328.1190034747"
"13","540534.0082961918","628300.9769274289"
"14","540531.8811365761","628334.6809965253"
"14","540600.2914942731","628354.8975027915"
"14","540533.2981480298","628329.8859909422"
"14","540601.7085057269","628350.1024972085"
"15","540530.021659665","628339.8209383757"
"15","540531.3777379496","628334.5322330657"
"15","540525.1783403349","628338.5790616242"
"15","540526.5344186195","628333.2903563143"
"16","540448.0746773968","628099.5466992389"
"16","540514.1644129928","627959.8615447463"
"16","540443.5550258325","628097.4083003665"
"16","540509.6447614285","627957.7231458739"
"17","540572.2097616162","628303.2217616116"
"17","540572.9278635526","628291.301520553"
"17","540567.2188098124","628302.9210955313"
"17","540567.9369117487","628291.0008544726"
"18","540428.4033815641","628156.9542078293"
"18","540439.9418858109","628119.7409667369"
"18","540423.6276820325","628155.4734330376"
"18","540435.1661862793","628118.2601919452"
"19","540425.0523409058","628175.2824181101"
"19","540426.9635673868","628164.829139738"
"19","540419.1501806871","628174.2032958957"
"19","540421.061407168","628163.7500175236"
"20","540427.0989067237","628164.0889136179"
"20","540486.0555656092","628189.4028795217"
"20","540429.0715856411","628159.4945107308"
"20","540488.0282445267","628184.8084766347"
"21","540403.9423479898","628014.9006300886"
"21","540416.8309626771","627970.3779167784"
"21","540399.1395399456","628013.5102938378"
"21","540412.0281546329","627968.9875805276"
"22","540380.0596306376","627989.6995842448"
"22","540412.4901745828","627967.3915686774"
"22","540377.2259501104","627985.5800873495"
"22","540409.6564940555","627963.2720717822"
"23","540206.3680606298","628072.0127819607"
"23","540232.9601847782","628079.8755412288"
"23","540207.7857855239","628067.2179872701"
"23","540234.3779096723","628075.0807465382"
"24","540378.907016915","627999.1057672593"
"24","540395.4790269688","628016.9162657618"
"24","540382.5675298919","627995.6997953352"
"24","540399.1395399456","628013.5102938378"
"25","540308.2663144809","627972.8899174796"
"25","540364.7270038319","627990.2228967668"
"25","540309.7336855191","627968.1100825204"
"25","540366.19437487","627985.4430618077"
"26","540450.9849850262","627871.4792156314"
"26","540457.9259685847","627919.2594002725"
"26","540455.9330478568","627870.7604150864"
"26","540462.8740314153","627918.5405997275"
"27","540384.440537107","628165.0633956817"
"27","540432.545040913","628120.6786528737"
"27","540381.0499374527","628161.3886393654"
"27","540429.1544412588","628117.0038965575"
"28","540391.550289961","628175.9932870374"
"28","540416.0349243692","628184.4765145185"
"28","540394.169318482","628168.4341409476"
"28","540418.6539528902","628176.9173684288"
"29","540401.6810257648","628022.7121911886"
"29","540416.2582858871","628034.246239957"
"29","540404.7835016096","628018.7911398459"
"29","540419.3607617319","628030.3251886143"
"30","540501.9832642553","628337.7887882239"
"30","540508.7768496985","628279.3713511457"
"30","540497.0167357447","628337.2112117761"
"30","540503.8103211878","628278.7937746979"
"31","540515.987134649","628277.9618590468"
"31","540535.6928728679","628281.1233474539"
"31","540516.9375897902","628272.0376177431"
"31","540536.6433280092","628275.1991061503"
"32","540240.2200652558","628072.115732857"
"32","540247.4895841792","627992.7279706444"
"32","540235.2408968972","628071.6597915683"
"32","540242.5104158208","627992.2720293556"
"33","540493.2587201049","628187.0542633354"
"33","540542.2684917083","628104.3331340464"
"33","540488.9570308059","628184.5056423014"
"33","540537.9668024093","628101.7845130124"
"34","540231.2149673691","628116.2368272998"
"34","540239.009103103","628085.3402084312"
"34","540224.4276025573","628114.5246126772"
"34","540232.2217382913","628083.6279938086"
"35","540573.109762583","628290.5822021468"
"35","540585.9187568062","628290.99867956"
"35","540573.2722489707","628285.5848430266"
"35","540586.0812431938","628286.00132044"
"36","540540.5851407415","628294.9788399982"
"36","540541.884812402","628282.1167507375"
"36","540535.610473004","628294.4761662454"
"36","540536.9101446645","628281.6140769847"
"37","540542.7852434188","628282.2612113099"
"37","540566.8802025032","628289.48771917"
"37","540544.2216218074","628277.4719715869"
"37","540568.3165808918","628284.698479447"
